configuration_id,run_id,checkpoint_path,checkpoint_bytes,shard_index
dwt_energy__extra_trees__medium__frac_0.20,dwt_energy__extra_trees__medium__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__medium__frac_0.20__seed3407.joblib,31415445,1
dwt_energy__extra_trees__medium__frac_0.40,dwt_energy__extra_trees__medium__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__medium__frac_0.40__seed3407.joblib,50307045,1
dwt_energy__extra_trees__medium__frac_0.60,dwt_energy__extra_trees__medium__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__medium__frac_0.60__seed3407.joblib,62372805,1
dwt_energy__extra_trees__medium__frac_0.80,dwt_energy__extra_trees__medium__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__medium__frac_0.80__seed3407.joblib,74254965,1
dwt_energy__extra_trees__medium__frac_1.00,dwt_energy__extra_trees__medium__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__medium__frac_1.00__seed3407.joblib,82837365,1
dwt_energy__extra_trees__small__frac_0.20,dwt_energy__extra_trees__small__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__small__frac_0.20__seed3407.joblib,1542241,1
dwt_energy__extra_trees__small__frac_0.40,dwt_energy__extra_trees__small__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__small__frac_0.40__seed3407.joblib,1554481,1
dwt_energy__extra_trees__small__frac_0.60,dwt_energy__extra_trees__small__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__small__frac_0.60__seed3407.joblib,1547761,1
dwt_energy__extra_trees__small__frac_0.80,dwt_energy__extra_trees__small__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__small__frac_0.80__seed3407.joblib,1601761,1
dwt_energy__extra_trees__small__frac_1.00,dwt_energy__extra_trees__small__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__extra_trees__small__frac_1.00__seed3407.joblib,1626481,1
dwt_energy__hist_gradient_boosting__large__frac_0.20,dwt_energy__hist_gradient_boosting__large__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__large__frac_0.20__seed3407.joblib,8523175,1
dwt_energy__hist_gradient_boosting__large__frac_0.40,dwt_energy__hist_gradient_boosting__large__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__large__frac_0.40__seed3407.joblib,16241879,1
dwt_energy__hist_gradient_boosting__large__frac_0.60,dwt_energy__hist_gradient_boosting__large__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__large__frac_0.60__seed3407.joblib,17577479,1
dwt_energy__hist_gradient_boosting__large__frac_0.80,dwt_energy__hist_gradient_boosting__large__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__large__frac_0.80__seed3407.joblib,17615111,1
dwt_energy__hist_gradient_boosting__large__frac_1.00,dwt_energy__hist_gradient_boosting__large__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__large__frac_1.00__seed3407.joblib,17615223,1
dwt_energy__hist_gradient_boosting__medium__frac_0.20,dwt_energy__hist_gradient_boosting__medium__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__medium__frac_0.20__seed3407.joblib,4916361,1
dwt_energy__hist_gradient_boosting__medium__frac_0.40,dwt_energy__hist_gradient_boosting__medium__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__medium__frac_0.40__seed3407.joblib,5052217,1
dwt_energy__hist_gradient_boosting__medium__frac_0.60,dwt_energy__hist_gradient_boosting__medium__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__medium__frac_0.60__seed3407.joblib,5052329,1
dwt_energy__hist_gradient_boosting__medium__frac_0.80,dwt_energy__hist_gradient_boosting__medium__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__medium__frac_0.80__seed3407.joblib,5052329,1
dwt_energy__hist_gradient_boosting__medium__frac_1.00,dwt_energy__hist_gradient_boosting__medium__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__medium__frac_1.00__seed3407.joblib,5052329,1
dwt_energy__hist_gradient_boosting__small__frac_0.20,dwt_energy__hist_gradient_boosting__small__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__small__frac_0.20__seed3407.joblib,1275846,1
dwt_energy__hist_gradient_boosting__small__frac_0.40,dwt_energy__hist_gradient_boosting__small__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__small__frac_0.40__seed3407.joblib,1275846,1
dwt_energy__hist_gradient_boosting__small__frac_0.60,dwt_energy__hist_gradient_boosting__small__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__small__frac_0.60__seed3407.joblib,1275846,1
dwt_energy__hist_gradient_boosting__small__frac_0.80,dwt_energy__hist_gradient_boosting__small__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__small__frac_0.80__seed3407.joblib,1275846,1
dwt_energy__hist_gradient_boosting__small__frac_1.00,dwt_energy__hist_gradient_boosting__small__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__hist_gradient_boosting__small__frac_1.00__seed3407.joblib,1275846,1
dwt_energy__knn__large__frac_0.20,dwt_energy__knn__large__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__large__frac_0.20__seed3407.joblib,66819,1
dwt_energy__knn__large__frac_0.40,dwt_energy__knn__large__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__large__frac_0.40__seed3407.joblib,130835,1
dwt_energy__knn__large__frac_0.60,dwt_energy__knn__large__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__large__frac_0.60__seed3407.joblib,198499,1
dwt_energy__knn__large__frac_0.80,dwt_energy__knn__large__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__large__frac_0.80__seed3407.joblib,258915,1
dwt_energy__knn__large__frac_1.00,dwt_energy__knn__large__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__large__frac_1.00__seed3407.joblib,333523,1
dwt_energy__knn__medium__frac_0.20,dwt_energy__knn__medium__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__medium__frac_0.20__seed3407.joblib,56742,1
dwt_energy__knn__medium__frac_0.40,dwt_energy__knn__medium__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__medium__frac_0.40__seed3407.joblib,110694,1
dwt_energy__knn__medium__frac_0.60,dwt_energy__knn__medium__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__medium__frac_0.60__seed3407.joblib,167782,1
dwt_energy__knn__medium__frac_0.80,dwt_energy__knn__medium__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__medium__frac_0.80__seed3407.joblib,218662,1
dwt_energy__knn__medium__frac_1.00,dwt_energy__knn__medium__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__medium__frac_1.00__seed3407.joblib,281702,1
dwt_energy__knn__small__frac_0.20,dwt_energy__knn__small__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__small__frac_0.20__seed3407.joblib,46627,1
dwt_energy__knn__small__frac_0.40,dwt_energy__knn__small__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__small__frac_0.40__seed3407.joblib,90547,1
dwt_energy__knn__small__frac_0.60,dwt_energy__knn__small__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__small__frac_0.60__seed3407.joblib,137059,1
dwt_energy__knn__small__frac_0.80,dwt_energy__knn__small__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__small__frac_0.80__seed3407.joblib,178387,1
dwt_energy__knn__small__frac_1.00,dwt_energy__knn__small__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__knn__small__frac_1.00__seed3407.joblib,229875,1
dwt_energy__lda__large__frac_0.20,dwt_energy__lda__large__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__large__frac_0.20__seed3407.joblib,3266,1
dwt_energy__lda__large__frac_0.40,dwt_energy__lda__large__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__large__frac_0.40__seed3407.joblib,3266,1
dwt_energy__lda__large__frac_0.60,dwt_energy__lda__large__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__large__frac_0.60__seed3407.joblib,3266,1
dwt_energy__lda__large__frac_0.80,dwt_energy__lda__large__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__large__frac_0.80__seed3407.joblib,3266,1
dwt_energy__lda__large__frac_1.00,dwt_energy__lda__large__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__large__frac_1.00__seed3407.joblib,3266,1
dwt_energy__lda__medium__frac_0.20,dwt_energy__lda__medium__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__medium__frac_0.20__seed3407.joblib,2709,1
dwt_energy__lda__medium__frac_0.40,dwt_energy__lda__medium__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__medium__frac_0.40__seed3407.joblib,2709,1
dwt_energy__lda__medium__frac_0.60,dwt_energy__lda__medium__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__medium__frac_0.60__seed3407.joblib,2709,1
dwt_energy__lda__medium__frac_0.80,dwt_energy__lda__medium__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__medium__frac_0.80__seed3407.joblib,2709,1
dwt_energy__lda__medium__frac_1.00,dwt_energy__lda__medium__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__medium__frac_1.00__seed3407.joblib,2709,1
dwt_energy__lda__small__frac_0.20,dwt_energy__lda__small__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__small__frac_0.20__seed3407.joblib,2541,1
dwt_energy__lda__small__frac_0.40,dwt_energy__lda__small__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__small__frac_0.40__seed3407.joblib,2541,1
dwt_energy__lda__small__frac_0.60,dwt_energy__lda__small__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__small__frac_0.60__seed3407.joblib,2541,1
dwt_energy__lda__small__frac_0.80,dwt_energy__lda__small__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__small__frac_0.80__seed3407.joblib,2541,1
dwt_energy__lda__small__frac_1.00,dwt_energy__lda__small__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__lda__small__frac_1.00__seed3407.joblib,2541,1
dwt_energy__linear_svm__large__frac_0.20,dwt_energy__linear_svm__large__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__large__frac_0.20__seed3407.joblib,2271,1
dwt_energy__linear_svm__large__frac_0.40,dwt_energy__linear_svm__large__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__large__frac_0.40__seed3407.joblib,2271,1
dwt_energy__linear_svm__large__frac_0.60,dwt_energy__linear_svm__large__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__large__frac_0.60__seed3407.joblib,2271,1
dwt_energy__linear_svm__large__frac_0.80,dwt_energy__linear_svm__large__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__large__frac_0.80__seed3407.joblib,2271,1
dwt_energy__linear_svm__large__frac_1.00,dwt_energy__linear_svm__large__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__large__frac_1.00__seed3407.joblib,2271,1
dwt_energy__linear_svm__medium__frac_0.20,dwt_energy__linear_svm__medium__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__medium__frac_0.20__seed3407.joblib,2210,1
dwt_energy__linear_svm__medium__frac_0.40,dwt_energy__linear_svm__medium__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__medium__frac_0.40__seed3407.joblib,2210,1
dwt_energy__linear_svm__medium__frac_0.60,dwt_energy__linear_svm__medium__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__medium__frac_0.60__seed3407.joblib,2210,1
dwt_energy__linear_svm__medium__frac_0.80,dwt_energy__linear_svm__medium__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__medium__frac_0.80__seed3407.joblib,2210,1
dwt_energy__linear_svm__medium__frac_1.00,dwt_energy__linear_svm__medium__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__medium__frac_1.00__seed3407.joblib,2210,1
dwt_energy__linear_svm__small__frac_0.20,dwt_energy__linear_svm__small__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__small__frac_0.20__seed3407.joblib,2111,1
dwt_energy__linear_svm__small__frac_0.40,dwt_energy__linear_svm__small__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__small__frac_0.40__seed3407.joblib,2111,1
dwt_energy__linear_svm__small__frac_0.60,dwt_energy__linear_svm__small__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__small__frac_0.60__seed3407.joblib,2111,1
dwt_energy__linear_svm__small__frac_0.80,dwt_energy__linear_svm__small__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__small__frac_0.80__seed3407.joblib,2111,1
dwt_energy__linear_svm__small__frac_1.00,dwt_energy__linear_svm__small__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__linear_svm__small__frac_1.00__seed3407.joblib,2111,1
dwt_energy__logistic_regression__large__frac_0.20,dwt_energy__logistic_regression__large__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__large__frac_0.20__seed3407.joblib,2457,1
dwt_energy__logistic_regression__large__frac_0.40,dwt_energy__logistic_regression__large__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__large__frac_0.40__seed3407.joblib,2457,1
dwt_energy__logistic_regression__large__frac_0.60,dwt_energy__logistic_regression__large__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__large__frac_0.60__seed3407.joblib,2457,1
dwt_energy__logistic_regression__large__frac_0.80,dwt_energy__logistic_regression__large__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__large__frac_0.80__seed3407.joblib,2457,1
dwt_energy__logistic_regression__large__frac_1.00,dwt_energy__logistic_regression__large__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__large__frac_1.00__seed3407.joblib,2457,1
dwt_energy__logistic_regression__medium__frac_0.20,dwt_energy__logistic_regression__medium__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__medium__frac_0.20__seed3407.joblib,2396,1
dwt_energy__logistic_regression__medium__frac_0.40,dwt_energy__logistic_regression__medium__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__medium__frac_0.40__seed3407.joblib,2396,1
dwt_energy__logistic_regression__medium__frac_0.60,dwt_energy__logistic_regression__medium__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__medium__frac_0.60__seed3407.joblib,2396,1
dwt_energy__logistic_regression__medium__frac_0.80,dwt_energy__logistic_regression__medium__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__medium__frac_0.80__seed3407.joblib,2396,1
dwt_energy__logistic_regression__medium__frac_1.00,dwt_energy__logistic_regression__medium__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__medium__frac_1.00__seed3407.joblib,2396,1
dwt_energy__logistic_regression__small__frac_0.20,dwt_energy__logistic_regression__small__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__small__frac_0.20__seed3407.joblib,2297,1
dwt_energy__logistic_regression__small__frac_0.40,dwt_energy__logistic_regression__small__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__small__frac_0.40__seed3407.joblib,2297,1
dwt_energy__logistic_regression__small__frac_0.60,dwt_energy__logistic_regression__small__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__small__frac_0.60__seed3407.joblib,2297,1
dwt_energy__logistic_regression__small__frac_0.80,dwt_energy__logistic_regression__small__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__small__frac_0.80__seed3407.joblib,2297,1
dwt_energy__logistic_regression__small__frac_1.00,dwt_energy__logistic_regression__small__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__logistic_regression__small__frac_1.00__seed3407.joblib,2297,1
dwt_energy__random_forest__large__frac_0.20,dwt_energy__random_forest__large__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__large__frac_0.20__seed3407.joblib,33783303,1
dwt_energy__random_forest__large__frac_0.40,dwt_energy__random_forest__large__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__large__frac_0.40__seed3407.joblib,65724183,1
dwt_energy__random_forest__large__frac_0.60,dwt_energy__random_forest__large__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__large__frac_0.60__seed3407.joblib,97209303,1
dwt_energy__random_forest__large__frac_0.80,dwt_energy__random_forest__large__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__large__frac_0.80__seed3407.joblib,128442663,1
dwt_energy__random_forest__large__frac_1.00,dwt_energy__random_forest__large__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__large__frac_1.00__seed3407.joblib,159866103,1
dwt_energy__random_forest__medium__frac_0.20,dwt_energy__random_forest__medium__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__medium__frac_0.20__seed3407.joblib,16805227,1
dwt_energy__random_forest__medium__frac_0.40,dwt_energy__random_forest__medium__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__medium__frac_0.40__seed3407.joblib,31253227,1
dwt_energy__random_forest__medium__frac_0.60,dwt_energy__random_forest__medium__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__medium__frac_0.60__seed3407.joblib,44764507,1
dwt_energy__random_forest__medium__frac_0.80,dwt_energy__random_forest__medium__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__medium__frac_0.80__seed3407.joblib,56961307,1
dwt_energy__random_forest__medium__frac_1.00,dwt_energy__random_forest__medium__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__medium__frac_1.00__seed3407.joblib,68892187,1
dwt_energy__random_forest__small__frac_0.20,dwt_energy__random_forest__small__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__small__frac_0.20__seed3407.joblib,2366183,1
dwt_energy__random_forest__small__frac_0.40,dwt_energy__random_forest__small__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__small__frac_0.40__seed3407.joblib,2994983,1
dwt_energy__random_forest__small__frac_0.60,dwt_energy__random_forest__small__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__small__frac_0.60__seed3407.joblib,3408023,1
dwt_energy__random_forest__small__frac_0.80,dwt_energy__random_forest__small__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__small__frac_0.80__seed3407.joblib,3708743,1
dwt_energy__random_forest__small__frac_1.00,dwt_energy__random_forest__small__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__random_forest__small__frac_1.00__seed3407.joblib,3899783,1
dwt_energy__rbf_svm__large__frac_0.20,dwt_energy__rbf_svm__large__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__large__frac_0.20__seed3407.joblib,99809,1
dwt_energy__rbf_svm__large__frac_0.40,dwt_energy__rbf_svm__large__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__large__frac_0.40__seed3407.joblib,189409,1
dwt_energy__rbf_svm__large__frac_0.60,dwt_energy__rbf_svm__large__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__large__frac_0.60__seed3407.joblib,279009,1
dwt_energy__rbf_svm__large__frac_0.80,dwt_energy__rbf_svm__large__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__large__frac_0.80__seed3407.joblib,369441,1
dwt_energy__rbf_svm__large__frac_1.00,dwt_energy__rbf_svm__large__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__large__frac_1.00__seed3407.joblib,459185,1
dwt_energy__rbf_svm__medium__frac_0.20,dwt_energy__rbf_svm__medium__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__medium__frac_0.20__seed3407.joblib,94820,1
dwt_energy__rbf_svm__medium__frac_0.40,dwt_energy__rbf_svm__medium__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__medium__frac_0.40__seed3407.joblib,182868,1
dwt_energy__rbf_svm__medium__frac_0.60,dwt_energy__rbf_svm__medium__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__medium__frac_0.60__seed3407.joblib,266948,1
dwt_energy__rbf_svm__medium__frac_0.80,dwt_energy__rbf_svm__medium__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__medium__frac_0.80__seed3407.joblib,351156,1
dwt_energy__rbf_svm__medium__frac_1.00,dwt_energy__rbf_svm__medium__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__medium__frac_1.00__seed3407.joblib,436836,1
dwt_energy__rbf_svm__small__frac_0.20,dwt_energy__rbf_svm__small__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__small__frac_0.20__seed3407.joblib,92705,1
dwt_energy__rbf_svm__small__frac_0.40,dwt_energy__rbf_svm__small__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__small__frac_0.40__seed3407.joblib,179505,1
dwt_energy__rbf_svm__small__frac_0.60,dwt_energy__rbf_svm__small__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__small__frac_0.60__seed3407.joblib,264193,1
dwt_energy__rbf_svm__small__frac_0.80,dwt_energy__rbf_svm__small__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__small__frac_0.80__seed3407.joblib,348145,1
dwt_energy__rbf_svm__small__frac_1.00,dwt_energy__rbf_svm__small__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/dwt_energy__rbf_svm__small__frac_1.00__seed3407.joblib,432081,1
fft_stats__extra_trees__large__frac_0.20,fft_stats__extra_trees__large__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__large__frac_0.20__seed3407.joblib,49013719,1
fft_stats__extra_trees__large__frac_0.40,fft_stats__extra_trees__large__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__large__frac_0.40__seed3407.joblib,89977399,1
fft_stats__extra_trees__large__frac_0.60,fft_stats__extra_trees__large__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__large__frac_0.60__seed3407.joblib,127899079,1
fft_stats__extra_trees__large__frac_0.80,fft_stats__extra_trees__large__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__large__frac_0.80__seed3407.joblib,164835319,1
fft_stats__extra_trees__large__frac_1.00,fft_stats__extra_trees__large__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__large__frac_1.00__seed3407.joblib,201198679,1
fft_stats__extra_trees__medium__frac_0.20,fft_stats__extra_trees__medium__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__medium__frac_0.20__seed3407.joblib,24167963,1
fft_stats__extra_trees__medium__frac_0.40,fft_stats__extra_trees__medium__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__medium__frac_0.40__seed3407.joblib,39739403,1
fft_stats__extra_trees__medium__frac_0.60,fft_stats__extra_trees__medium__frac_0.60__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__medium__frac_0.60__seed3407.joblib,51329003,1
fft_stats__extra_trees__medium__frac_0.80,fft_stats__extra_trees__medium__frac_0.80__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__medium__frac_0.80__seed3407.joblib,61685003,1
fft_stats__extra_trees__medium__frac_1.00,fft_stats__extra_trees__medium__frac_1.00__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__medium__frac_1.00__seed3407.joblib,70325243,1
fft_stats__extra_trees__small__frac_0.20,fft_stats__extra_trees__small__frac_0.20__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__small__frac_0.20__seed3407.joblib,2129079,1
fft_stats__extra_trees__small__frac_0.40,fft_stats__extra_trees__small__frac_0.40__seed3407,classical_shards/shard_1/checkpoints/classical_bank/fft_stats__extra_trees__small__frac_0.40__seed3407.joblib,2478039,1
